nome,fonte,unidade,tipo_unidade,codigo_estado,estado,codigo_municipio,municipio,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100379,Alto Alegre dos Parecis,,,,,,,,,,,,,,,,,,,,,,,,25128,,,850,23531,221953,16327,250721,317564,301802,310865,169772,1060352,791916,780946,473031,1063254,1491905,1576147,426617,474763,486058,553806,442889,1964630,2460211,1103453
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100403,Alto Paraíso,,,,,,,,,,,,,,,,,,,,0,0,250,,0,,,595513,76304,33427,417,730068,106445,379182,0,515561,182305,153167,447063,405348,128894,356225,135130,146728,275871,31920,355324,203159,847080,1462746,2278414
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100452,Buritis,,,,,,,,,,,,,,,,,,,,,,,,1208,,,0,0,250173,228993,492942,467030,305088,237166,773115,538379,367807,1762118,1070967,631782,2077703,1506611,1215395,1238037,923252,807942,616887,972519,2897564,1577094
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100502,Novo Horizonte do Oeste,,,,,,,,,,,,,,,,,,,,263,4819,15435,,16204,27838,0,180386,148378,282666,193111,20336,434109,72350,79800,179260,102860,411020,110210,255255,124116,576695,364733,0,0,819061,525611,602269,742631,1295355,688870
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100601,Cacaulândia,,,,,,,,,,,,,,,,,,,,0,320,2018,,38476,,,37144,12400,72220,96665,207892,90014,418577,91991,480550,154700,677046,984046,470759,496911,312732,249412,158220,171730,132599,324491,220430,268063,706340,692041
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100700,Campo Novo de Rondônia,,,,,,,,,,,,,,,,,,,,0,0,2534,,4100,,,22823,39667,158787,92901,394708,90538,417089,287250,9600,541818,726087,452494,3027069,955877,1221579,1338499,444138,749193,1467157,643288,470967,686394,4495745,1844588
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100809,Candeias do Jamari,,,,,,,,,,,,,,,,,,,,42,0,0,,0,,,6910,70973,217924,0,85597,5946,322365,135923,301631,219130,68200,1200986,2438486,460656,40018,54002,383423,374771,326807,436011,438559,461742,468688,278887
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100908,Castanheiras,,,,,,,,,,,,,,,,,,,,93,1300,5602,,417497,134596,0,0,792752,301650,143937,143516,1532,259062,136563,801350,174066,1360795,821214,310561,511273,1032010,607985,345020,350457,981695,353862,597671,508333,,903665
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100924,Chupinguaia,,,,,,,,,,,,,,,,,,,,,,,,1440,240,0,47787,8525,5500,11500,,92264,239192,174330,182377,280783,91252,793712,373118,0,99898,0,0,0,488938,494499,639816,1010664,2278594,1479720
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100940,Cujubim,,,,,,,,,,,,,,,,,,,,,,,,17311,,,52901,101805,440199,69193,677782,5360,416578,217150,393436,733100,820874,1218268,1081904,597763,1804248,1522339,929242,714704,726597,970303,1418880,1249506,2050917,2433247
