nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,12,Acre,1665,862,812,842,572,863,1766,1915,2144,2815,2982,3180,3421,3544,3653,3638,3703,3983,4188,5415,6025,6681,4948,5376,5522,5908,6330,5235,4283,5369,7021,8012,11010,9762,15433,19494,18203,17628,17203,15427,14904,13240,12937,11679,12496,12355,12039,9467,9908,9223
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,27,Alagoas,68235,78821,87043,83813,81249,82536,84452,82931,85162,60129,59107,58452,56722,59018,67243,70419,71749,73399,72731,60473,62354,64270,65465,44164,44043,46365,48718,50376,54505,57982,61900,67766,69694,67549,64721,62530,65655,67908,67471,66559,68297,70613,66015,59619,67522,71584,76627,81450,70839,64482
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,16,Amapá,2620,953,792,1255,1600,1180,1490,2340,1643,750,585,430,585,1820,1849,1742,1685,1572,1000,973,1533,1638,696,970,1103,1217,1359,1344,1176,1080,1373,1668,2210,2771,2218,2501,2657,2894,2891,2569,2511,2365,2162,2279,2104,2186,2155,2130,1964,1883
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,13,Amazonas,7860,3734,3888,3860,4255,4503,4783,5009,5223,5722,6346,6573,6577,8242,10947,11022,12234,12264,12550,13679,14833,16076,10398,10966,11765,12263,12775,13317,13847,14035,14660,14740,15315,14808,16070,16381,18649,21488,22599,22328,18709,13767,14113,15210,14669,15149,15233,15355,16339,15414
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,29,Bahia,1695792,2381196,2592634,2466862,2571739,2733843,2858641,3033901,3063138,3242326,3592748,3826688,4079885,4188146,4445080,4545493,4695776,4839634,4914350,4067648,4056735,4190114,2442566,2784188,3055370,3464308,3831974,3849986,3584783,3572318,3919445,4041978,4051971,3187839,2933629,2768286,2847148,2741818,2427207,2458179,2360683,2637249,2742733,2959139,3271044,3504337,3645234,3409751,3738229,3955274
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,23,Ceará,720016,724117,721647,739706,764578,808477,813129,864055,877550,709199,820185,949173,1029263,1032136,1066265,1101893,1115993,1144566,1161373,1033792,1080452,1116173,808766,810730,744741,773102,789894,815053,836813,869045,904258,931634,946715,976880,998787,1015927,1024594,1044998,1024255,1029763,1055937,1115888,1134141,1058705,1097351,1131862,1164677,1163844,1180288,1156632
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,53,Distrito Federal,1300,1176,1375,1200,1687,1300,1242,1325,1644,1842,2100,2600,2700,2500,3000,3400,3500,2086,2284,2145,2292,2500,2318,2971,2971,3442,3072,3051,2900,2690,2560,2540,2580,2140,1900,1780,1728,800,800,2162,2430,2661,3595,3016,3260,3389,3621,3426,3522,3602
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,32,Espírito Santo,30105,20816,20607,20384,21403,22977,22489,23878,24809,24940,24709,25349,22988,23949,25876,24656,25310,26047,27588,29199,30010,33623,14644,15128,15304,15455,15482,15719,16164,16919,17365,17694,17895,17585,18093,18116,17897,17484,17930,17743,15244,14370,11867,10761,13392,12859,11925,10976,9503,8022
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,52,Goiás,32032,30027,33224,32332,34153,39501,49127,32872,38613,45684,55037,58527,63742,71475,76085,84420,91732,99902,94358,97214,99659,92132,21100,20755,21922,22945,25363,29827,30934,34525,37547,36939,39020,40780,39510,41674,39737,40307,36881,33075,30178,26825,25136,28385,33090,33538,33893,36464,39904,34970
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,21,Maranhão,569612,311089,301495,328150,346560,367192,389373,418702,455133,476894,520608,507504,484090,492077,511569,529216,541272,512551,499249,505018,506822,501520,311230,318299,320000,325315,332484,340727,355029,373549,382294,395008,405672,379054,382018,385649,373144,369450,369201,355424,362304,365973,374249,356302,359757,360503,361179,360155,358464,383563
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,51,Mato Grosso,13793,7633,7993,9080,9241,10235,9986,7174,7861,11083,11708,6553,6636,6936,7294,21743,24698,24342,27818,30537,33298,35387,20353,24618,25566,26978,28396,30771,33636,36637,39302,43220,43493,41245,39941,39958,40246,33612,26281,20699,22310,24619,28120,29917,35746,37218,36242,38335,37361,27879
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,50,Mato Grosso do Sul,59863,18759,17252,16184,16409,19578,17395,20850,22117,23963,25393,26576,30345,32123,33452,36715,39157,41328,39151,39647,40978,42113,25841,26187,26518,27384,27954,28495,28965,29872,30602,31598,31903,31881,32057,32453,31716,39556,37927,36239,36099,36464,36140,29359,29061,27543,24970,25226,24566,20001
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,31,Minas Gerais,107143,106240,113636,99060,98792,109957,109157,113042,131271,146289,145693,149978,146712,151492,158216,164440,175438,176581,169597,175044,173352,178161,77262,80865,85581,90373,90650,96634,95752,108177,116580,126612,136576,135246,114156,119766,118572,112982,114682,102651,92200,87401,81247,74171,78718,76520,75863,71804,72896,71643
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,41,Paraná,360767,173548,168310,166198,170886,181001,194996,250671,269817,282757,289827,290703,290068,279958,275909,272843,265952,272906,270274,254033,228285,206456,85178,80561,81377,78902,78870,80880,85346,92390,96731,114796,123052,141341,167382,179896,181984,185206,176130,164964,163644,151115,139209,121906,116145,102336,85845,82124,75397,67438
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,25,Paraíba,338029,390731,435377,504265,507772,527089,503342,520463,526111,515023,508230,555054,523140,511900,521602,543447,509450,514016,525735,404443,402732,458477,402000,414151,412471,458383,526179,608155,642685,673426,680742,657824,653730,636457,624025,624205,600607,580867,473184,478083,507589,566576,566153,613919,649136,692427,739915,764758,796472,826432
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,15,Pará,40543,20439,26127,48022,34614,38998,33191,50522,56715,93726,100959,103451,122598,133884,156317,151336,154977,155250,161113,172682,174253,178523,47904,54486,56235,61145,69858,72629,76751,74448,78714,80311,79485,91697,94507,91230,75528,73370,59895,55664,64396,77084,80965,83234,81824,81546,98167,77707,66191,66252
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,26,Pernambuco,1146834,1069110,1127183,1087538,1137767,1182501,1198612,1286585,1229688,1129316,1178364,1223366,1395974,1361515,1402580,1442465,1431689,1431091,1362995,1010873,1165629,1237194,1092699,1291766,1239331,1176575,1405479,1443597,1486305,1511906,1533132,1601522,1685845,1595069,1720128,1638514,1735051,1925778,1791422,1976398,2058122,2436207,2534672,2464727,2570388,2933451,3116629,3127114,3226616,3364369
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,22,Piauí,1529737,1391136,1428453,1425691,1462849,1526451,1604318,1676562,1734766,1673872,1741053,1610609,1669265,1739221,1825828,1912733,2002851,2094732,2071864,2030527,2078452,2146665,1552311,1521774,1498186,1484910,1469994,1455135,1445107,1427556,1406281,1389486,1371234,1371392,1370372,1389384,1386515,1381949,1285033,1239161,1234403,1228263,1228950,1811964,1835550,1874530,1914146,1945903,1982362,2023532
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,24,Rio Grande do Norte,153457,180038,190687,184203,189290,182127,179942,177191,197818,180855,216753,223582,258583,272685,287691,298731,277160,296700,289139,211880,245098,288340,231608,226241,275182,295798,325031,333314,372571,406108,428278,439400,407931,401510,409359,398679,405983,406616,383971,397093,438690,463553,452836,469900,439429,433715,457276,448890,459519,574775
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,43,Rio Grande do Sul,82787,61162,69546,67893,66365,67304,70333,72579,75377,76829,77821,80375,85481,88575,92675,100986,107669,108653,116217,122110,129709,130889,67678,68353,71336,74223,72629,75872,75508,77923,84525,86620,87185,88771,94545,101420,103009,99312,100283,100514,96239,89881,82798,77837,71363,66558,61694,60683,58999,57804
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,33,Rio de Janeiro,18609,14289,16000,15360,15047,16121,17033,20350,22496,25920,41737,45915,47541,49053,49613,50964,51611,51231,46948,47213,47675,44364,22013,21441,23723,25617,27684,28759,29100,29264,30527,32493,33040,30909,30616,31463,31860,29752,28969,27334,23407,17812,14267,13476,15557,13606,13560,13542,13840,11882
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,11,Rondônia,1395,698,913,900,829,5287,5600,8613,10409,12505,13839,17394,17421,20484,25640,27088,26046,31758,35056,49931,41853,44754,13676,13920,14603,17168,17583,18643,12360,13483,13187,16310,13199,16575,15349,15224,14598,19238,15923,15182,12137,11171,12933,13382,11365,7639,7296,6534,6087,9064
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,14,Roraima,2982,2031,2688,2677,3693,4134,4180,4349,4523,4706,2926,5126,5018,5172,5667,6458,0,5497,5436,0,8118,4691,5254,6140,5830,6400,6590,6900,7350,7780,8960,9930,9945,9790,9128,9080,9245,7433,7622,6323,4368,5099,4223,10827,11115,10820,11099,11459,11977,16945
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,42,Santa Catarina,83281,40755,41861,42491,41786,44274,48185,82879,82303,69093,66977,71328,75169,79185,80118,80243,81473,68924,65022,70699,70981,73656,23805,25428,26753,29050,30229,30261,33658,35394,38199,41297,41972,49812,55995,54404,58332,58326,57243,50515,49629,48863,47565,31189,33372,37845,40647,39512,38905,36429
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,28,Sergipe,21868,16115,17309,16768,17279,18994,24628,30869,31098,29018,30939,34710,36810,37347,32879,32112,31189,30563,30354,26380,24402,20612,6413,6647,6932,7773,11735,12379,13121,13883,15130,18292,21055,17972,18349,19643,19881,18906,19629,22410,23647,24754,30829,23680,20837,21964,22441,24000,25383,24746
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,35,São Paulo,61267,40943,41762,44720,48016,53576,56195,59258,62451,69996,112996,109622,105003,105753,108915,109955,109693,107740,105549,106583,101247,102085,64904,75517,74625,72920,70372,69650,69621,71730,72944,75325,75772,69554,62988,62436,65078,65425,59271,59321,68347,63275,63874,63688,57307,54585,53546,52384,51931,49008
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,17,Tocantins,19037,14576,16003,14527,16867,19989,22131,15620,16866,20540,25015,27283,28755,32845,36750,40860,42580,44830,47625,50393,52509,54559,15424,16527,17163,19016,20129,20723,20852,24164,24631,23707,23950,21923,23738,23467,25167,23213,22560,23433,25455,25789,25278,27986,28096,17264,15379,14211,13028,10229
