nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,codigo_mesorregiao,mesorregiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,43,Rio Grande do Sul,4301,Noroeste Rio-grandense,1836736,2000601,1968875,1973842,1803428,1753527,2232148,2214945,2229925,2223813,2210951,2172777,2373408,2368292,2385185,2449703,2472968,2511863,2553514,2575417,2556568,2563050,2774650,2823185,2781638,2774090,2713515,2641769,2689713,2642001,2612122,2721899,2654287,2622444,2850553,2915825,2932302,2957269,2907917,2880795,2866859,2793403,2699129,2689608,2587451,2465713,2321532,2283601,2341524,2350598
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,31,Minas Gerais,3101,Noroeste de Minas,841152,1103264,1165423,1122241,1120000,1138600,1122335,1139882,1160462,1109253,1133421,1213525,1297494,1300373,1303099,1274924,1311575,1316158,1425216,1442403,1457375,1467783,1632438,1637425,1596054,1565170,1515793,1570391,1620705,1645582,1810154,1877284,1871751,1880520,1848275,1852386,1927235,2032534,2082795,1980818,2057421,2005938,1976873,1659572,1622580,1649272,1691784,1747161,1750511,1669975
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,13,Amazonas,1301,Norte Amazonense,3041,460,499,556,567,742,1618,1829,1924,2012,2486,2642,2719,2783,3067,3398,2449,2054,2162,2375,2606,2838,2212,2321,2434,2480,2528,2593,2681,2763,2770,3171,3276,3334,3441,3289,2939,3023,2836,2704,2900,3430,2796,2730,2874,2742,2945,2995,2995,2500
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,42,Santa Catarina,4202,Norte Catarinense,177049,173408,176201,178387,181306,184478,195728,198866,200790,204523,210349,213756,221514,227160,234734,243785,254560,286708,291664,291139,278215,282676,268578,267428,263310,253397,255589,247436,249137,250241,254341,250807,252903,244289,302238,297929,269403,300253,300690,315036,297448,305006,300612,262538,269455,287859,322148,327430,325865,331309
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,23,Ceará,2302,Norte Cearense,237029,210880,211985,213363,225210,229974,289129,305289,302577,232781,261839,295428,302603,308618,317250,320151,311548,315438,322320,251594,251858,260634,263902,265977,241091,249079,251160,246216,252166,258437,252407,255668,258761,262964,266433,268994,270626,276402,279343,253746,249844,235932,228251,209940,204649,210395,213184,214695,214485,222986
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,41,Paraná,4103,Norte Central Paranaense,1104054,1210639,1234866,1217290,1137614,1184975,1441780,1447414,1468851,1481513,1463890,1459870,1522999,1537419,1496206,1564066,1570320,1459247,1451439,1519845,1567519,1649245,1717925,1709513,1645197,1562124,1561230,1553787,1600957,1584527,1522374,1525693,1437853,1363674,1382097,1359649,1315981,1304385,1298803,1249720,1191684,1196664,1192787,1186596,1158518,1100625,1166886,973413,1000391,1084531
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,33,Rio de Janeiro,3302,Norte Fluminense,338382,417444,435004,429069,438659,433258,423810,449373,454340,452353,451469,450780,478636,481072,475133,472349,476084,480687,499170,519520,517585,483638,508432,526430,539458,542866,560014,562137,565886,578196,593145,598690,591140,600953,661959,670393,648933,670462,659052,650870,654450,641433,660250,708410,721289,721685,727634,760722,744225,769203
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,52,Goiás,5202,Norte Goiano,562968,723561,781140,812024,854591,925300,937645,953380,938830,1039405,1082795,1103733,1174900,1226450,1289070,1361420,1423290,1503900,1502700,1401600,1346700,1411790,1469670,1498200,1627750,1682857,1719077,1829139,2024112,2107227,2140904,2194100,2224170,2193300,2186650,2152086,2250321,2320976,2389746,2336150,2343446,2471114,2610692,2628619,2544348,2627034,2852685,3112124,3170412,3101107
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,21,Maranhão,2101,Norte Maranhense,444732,402870,399872,409484,420077,445011,587637,561991,575829,573522,609158,568869,619133,635776,674250,637049,650835,628134,625329,610358,623426,626011,449921,455984,462674,466751,482029,488479,499695,503019,538094,567474,601560,582458,615807,644719,641380,653155,662546,656900,660725,653468,639989,607531,587564,587346,593704,605135,614799,606829
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,51,Mato Grosso,5101,Norte Mato-grossense,47197,130829,168561,172512,184155,206137,284316,606038,667772,719360,814294,1000708,1093498,1243899,1372833,1589959,1861472,2505033,2661976,2991899,3699622,4449858,4980350,5471549,5778706,6039119,6781918,7457971,8423637,9384573,10240444,10712771,10677469,10598322,11050166,11743283,12388438,12559666,12488064,12240183,11848945,11982584,12427577,12673107,12991348,13634063,13787667,13948378,14827059,14462566
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,22,Piauí,2201,Norte Piauiense,231542,202473,206020,206745,217146,228326,244890,257898,269761,256789,268557,252227,265634,278469,293591,307565,320140,324827,322280,329106,341398,354947,280532,278968,282190,285664,288902,291544,293998,296009,298063,300157,302173,248162,247114,240793,241471,243000,229429,228384,230205,229523,227707,226108,202671,201677,200027,199252,198457,198978
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,41,Paraná,4104,Norte Pioneiro Paranaense,488628,587115,600727,597635,596384,607071,717609,738371,752388,758936,756625,750379,816260,807853,823502,823805,827193,801904,784461,797620,810954,843354,957189,943808,901014,880221,900045,950332,984916,1039150,1058709,1077209,1038509,999213,1012049,1008096,981026,978376,953274,995526,996588,997039,1032178,985202,1010985,972088,947412,856250,817137,932687
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,31,Minas Gerais,3102,Norte de Minas,1983152,2329065,2349218,2163698,2265656,2092119,2149419,2138890,2175979,2240085,2251782,2276192,2206136,2219497,2063306,2137022,2066242,2122667,2149755,2148516,2076624,2137372,2107483,2104738,2197198,2192601,2189840,2254791,2268590,2287852,2568199,2683125,2915700,3046609,2952929,2929735,2983600,3262516,3220228,3121852,2841819,2589350,2471358,2252815,2271613,2309188,2394956,2641699,2834992,2734177
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,14,Roraima,1401,Norte de Roraima,282682,246616,256468,258045,259593,268408,312334,321696,332506,342483,260257,268785,302251,319496,331956,349515,0,295986,297656,0,217052,214190,299312,274646,301100,328500,322400,261000,278000,277400,301000,335000,336100,308500,296800,295330,326300,351789,366023,390343,375769,392828,383282,393444,396942,421336,433812,441168,485227,494441
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,16,Amapá,1601,Norte do Amapá,58498,37940,37929,39007,38960,35100,33350,33058,27640,28350,29767,29400,30216,36845,37869,39797,37562,35650,27841,34392,42904,46115,36097,37122,40097,40801,44169,45985,44427,43066,41013,49478,57953,52236,48096,51142,54576,60280,66027,71087,76704,51697,41042,37387,30924,30359,30320,29917,31140,31038
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,17,Tocantins,1701,Ocidental do Tocantins,1308112,1480380,1599363,1696577,1921199,2071376,2204304,2231120,2307160,2442220,2610190,2647810,2820790,2994620,3086310,3165400,3263540,3370310,3510770,3948590,4134300,4270790,4150930,4216560,4280525,4598601,4871342,5265012,5578889,6181287,6389035,6364913,6174112,5869509,5892255,6055931,6373953,6372280,6394027,6443636,6379517,6671529,6813790,6890463,6547443,6652593,7144542,7897304,8275875,8554919
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,42,Santa Catarina,4201,Oeste Catarinense,717520,784783,812667,808564,790152,798574,903726,903462,915649,926034,943811,1026116,1043959,1085395,1133714,1125055,1125943,1151812,1140548,1108311,1095181,1119528,1324842,1305887,1295322,1310163,1324492,1378002,1376855,1427273,1443506,1495917,1598185,1665985,1792178,1836984,1946872,1965947,1960607,2032023,2061463,2103305,2149157,2027848,2111543,2184528,2155890,2125466,2083876,2110022
