nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Área colhida - Batata-inglesa - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,5,Centro-Oeste,3182.0,54.0,328.0,153.0,152.0,258.0,169.0,322.0,498.0,743.0,661.0,554.0,498.0,758.0,1402.0,674.0,1211.0,547.0,773.0,457.0,752.0,1028.0,1288.0,1623.0,2188.0,2315.0,1545.0,1990.0,4660.0,2609.0,2735.0,4044.0,5482.0,3282.0,4876.0,6027.0,7446.0,8932.0,9050.0,5292.0,8053.0,5848.0,5930.0,6158.0,5609.0,5161.0,4640.0,4408.0,5175.0,5101.0,
Área colhida - Batata-inglesa - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,13578.0,10268.0,8884.0,4041.0,4055.0,1820.0,1057.0,1510.0,1595.0,1014.0,1323.0,1524.0,1740.0,1766.0,1721.0,1566.0,1516.0,1997.0,2646.0,2286.0,2697.0,3157.0,3239.0,2457.0,2014.0,2156.0,2733.0,2943.0,3616.0,4545.0,6071.0,6049.0,5458.0,7330.0,7678.0,8102.0,8271.0,9976.0,4588.0,6318.0,6770.0,6871.0,7261.0,5938.0,6728.0,6776.0,7933.0,8524.0,8252.0,8852.0,
Área colhida - Batata-inglesa - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,1,Norte,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,
Área colhida - Batata-inglesa - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,3,Sudeste,124080.0,117994.0,124468.0,55005.0,61927.0,64270.0,61266.0,63798.0,65197.0,59812.0,63613.0,55588.0,58421.0,64552.0,60409.0,58693.0,54443.0,53701.0,54841.0,55454.0,58546.0,61895.0,63063.0,66995.0,73730.0,76829.0,61446.0,69354.0,71705.0,74458.0,69937.0,72833.0,69395.0,78866.0,71988.0,66719.0,67776.0,70452.0,67437.0,65358.0,63517.0,64174.0,61372.0,49872.0,54547.0,54542.0,55513.0,54907.0,57362.0,61293.0,
Área colhida - Batata-inglesa - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,4,Sul,243718.0,254116.0,265602.0,136568.0,145181.0,137770.0,118592.0,105352.0,115214.0,107501.0,107032.0,97569.0,100018.0,109781.0,110195.0,95835.0,101156.0,105381.0,114925.0,103866.0,109858.0,110687.0,95482.0,103755.0,100040.0,95181.0,86007.0,79697.0,81143.0,70238.0,63961.0,59303.0,60491.0,58541.0,60359.0,57829.0,58796.0,59852.0,54895.0,51088.0,53718.0,55038.0,55279.0,56159.0,52725.0,50367.0,49167.0,48583.0,47924.0,48204.0,
Área colhida - Cacau - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,5,Centro-Oeste,0.0,0.0,0.0,0.0,0.0,0.0,560.0,518.0,850.0,900.0,1848.0,2406.0,2262.0,2355.0,2557.0,2957.0,2931.0,4552.0,3655.0,3716.0,1664.0,1175.0,2226.0,2326.0,1515.0,1217.0,2870.0,2898.0,2900.0,453.0,542.0,562.0,607.0,638.0,1001.0,806.0,1067.0,1354.0,871.0,926.0,888.0,853.0,723.0,980.0,950.0,632.0,629.0,625.0,724.0,797.0,
Área colhida - Cacau - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,485052.0,418978.0,377052.0,382147.0,413224.0,419524.0,438113.0,453755.0,479343.0,505541.0,501854.0,540013.0,554471.0,556219.0,596491.0,551403.0,548538.0,544852.0,608532.0,607536.0,582304.0,625495.0,576902.0,625869.0,621025.0,597789.0,606835.0,574586.0,487791.0,487542.0,535072.0,517583.0,539946.0,515172.0,520651.0,513935.0,519990.0,533315.0,532074.0,532268.0,547422.0,539750.0,553592.0,422147.0,420523.0,413064.0,410078.0,423260.0,424745.0,425825.0,
Área colhida - Cacau - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,1,Norte,8903.0,9913.0,9312.0,9635.0,9123.0,12446.0,22342.0,31202.0,33138.0,63886.0,61503.0,85318.0,76649.0,68625.0,81357.0,82776.0,91918.0,96881.0,97576.0,101431.0,93549.0,90438.0,61967.0,66779.0,66729.0,60630.0,74809.0,67699.0,70946.0,81517.0,82362.0,86369.0,85619.0,92134.0,98752.0,100257.0,118463.0,123612.0,129134.0,133773.0,133550.0,139756.0,143183.0,144908.0,138845.0,151068.0,160483.0,159546.0,161689.0,170357.0,
Área colhida - Cacau - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,3,Sudeste,21245.0,22254.0,20965.0,20961.0,21519.0,21599.0,21506.0,19460.0,19942.0,20417.0,21037.0,21333.0,22120.0,22184.0,22085.0,22835.0,21466.0,21612.0,21662.0,21441.0,21117.0,21428.0,20828.0,20697.0,20529.0,21484.0,21451.0,20626.0,20678.0,21433.0,20849.0,20870.0,20963.0,20984.0,20933.0,20977.0,21191.0,22203.0,22254.0,22309.0,22262.0,22482.0,22557.0,22778.0,16871.0,17133.0,17311.0,17358.0,15627.0,15796.0,
Área colhida - Cacau - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,4,Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
